,Title,Earliest Semester Takeable,Prereqs,Coreqs,Exclusions,Notes,Semesters Available,Raw Prereqs
MAT437H1,K-Theory and C* Algebras,"(3, 'Winter')!!",,,,"Uncleanable string: ""5.0 MAT credits, including MAT224H1/MAT247H1 and MAT237Y1/MAT257Y1""",Winter!!,"5.0 MAT credits, including MAT224H1/MAT247H1 and MAT237Y1/MAT257Y1"
MAT445H1,Representation Theory,"(3, 'Winter')",MAT347Y1,,,,Winter,MAT347Y1
MAT449H1,Algebraic Curves,"(3, 'Winter')",MAT347Y1;MAT354H1,,,,Winter,"MAT347Y1, MAT354H1"
MAT454H1,Complex Analysis II,"(3, 'Winter')!!",MAT354H1,,,,Winter!!,MAT354H1
MAT457H1,Advanced Real Analysis I,"(4, 'Fall')",MAT357H1,,MAT457Y1,,Fall,MAT357H1
MAT458H1,Advanced Real Analysis II,"(4, 'Winter')!!",MAT457H1,,MAT457Y1,,Winter!!,MAT457H1
MAT461H1,Hamiltonian Mechanics,"(3, 'Winter')",(MAT244H1/MAT267H1);MAT337H1;APM346H1,,,,Winter,"MAT244H1/ MAT267H1, MAT337H1/ MAT367H1, APM346H1/ MAT351Y1"
MAT464H1,Riemannian Geometry,"(4, 'Fall')",MAT367H1,,,,Fall,MAT367H1
MAT475H1,Problem Solving Seminar,"(3, 'Fall')!!",,,,"Prereq: ('and ', 'at least ', '', '', '+ ', '', ' in APM/MAT')",Fall!!,"MAT224H1/MAT247H1, MAT235Y1/MAT237Y1/MAT257Y1, and at least 1.0 credit at the 300+ level in APM/MAT"
MAT477H1,Seminar in Mathematics,"(4, 'Fall')",MAT347Y1;MAT354H1;MAT357H1,,,,"Fall,Winter","MAT347Y1, MAT354H1, MAT357H1"
MAT482H1,Topics in Mathematics,"(2, 'Fall')",,,,Note: Possible topic-specific prereqsPrereq: s,Fall,"6.0 APM/MAT credits at the 100, 200 and 300-level. Possible additional topic-specific prerequisites."
MAT495H1,Independent Reading in Mathematics,"(1, 'Winter')",,,,Note: Need undergrad chair permission,"Fall,Winter",Minimum GPA of 3.5 in APM and MAT courses. Permission of the Associate Chair for Undergraduate Studies and of the prospective supervisor
MAT496H1,Independent Reading in Mathematics,"(1, 'Winter')",,,,Note: Need undergrad chair permission,"Fall,Winter",Minimum GPA of 3.5 in APM and MAT courses. Permission of the Associate Chair for Undergraduate Studies and of the prospective supervisor.
MAT497Y1,Research Project in Mathematics,"(2, 'Fall-Winter')",,,,Note: Need undergrad chair permission,Fall-Winter,Minimum GPA of 3.5 in APM and MAT courses. Permission of the Associate Chair for Undergraduate Studies and of the prospective supervisor
PHY100H1,The Magic of Physics,"(2, 'Fall')!!",,,"PHY196H1,PHY197H1,PHY198H1,PHY199H1,PHY202H1,PHY205H1,PHY207H1",,Fall!!,
PHY131H1,Introduction to Physics I,"(1, 'Winter')!!",,,PHY151H1,,"Fall!!,Winter!!",
PHY132H1,Introduction to Physics II,"(1, 'Winter')!!",,,PHY152H1,,Winter!!,PHY131H1/ PHY151H1
PHY151H1,Foundations of Physics I,"(0, 'Fall')",,,PHY131H1,,Fall,MCV4U Calculus & Vectors / MCB4U Functions & Calculus; SPH4U Physics
PHY152H1,Foundations of Physics II,"(0, 'Fall')",,,PHY132H1,,Winter!!,PHY131H1/PHY151H1/PHY180H1
PHY196H1,Emergence in Nature,"(1, 'Winter')!!",,,,,Winter!!,"No prior experience with physical science will be required, but familiarity with Grade 10 mathematics will be assumed."
PHY197H1,Modern Physics for the Curious,"(2, 'Fall')",,,,,Fall,"No prior experience with physical science will be required, but familiarity with Grade 10 mathematics will be assumed. "
PHY198H1,Physics at the Cutting Edge,"(1, 'Winter')!!",,,,,Winter!!,PHY151H1
PHY199H1,Dark Matter and Dark Energy are the New Black,"(1, 'Winter')!!",,,,,Winter!!,"No prior experience with physical science will be required, but familiarity with Grade 10 mathematics will be assumed."
PHY205H1,The Physics of Everyday Life,"(1, 'Winter')",,,"PHY196H1,PHY197H1,PHY198H1,PHY199H1,PHY100H1,PHY202H1,PHY207H1",,Winter,
PHY207H1,The Physics of Music,"(1, 'Winter')!!",,,"PHY196H1,PHY197H1,PHY198H1,PHY199H1,PHY100H1,PHY202H1,PHY205H1",,Winter!!,
PHY224H1,Practical Physics I,"(2, 'Fall')",,PHY231H1/PHY254H1/PHY256H1,,,"Fall,Winter!!","PHY131H1/ PHY151H1, PHY132H1/ PHY152H1, (MAT135H1, MAT136H1)/ MAT137Y1/ MAT157Y1"
PHY231H1,Physics of Living Systems,"(2, 'Fall')",,,,,Fall,"PHY131H1/ PHY151H1, PHY132H1/ PHY152H1, (MAT135H1, MAT136H1)/ MAT137Y1/ MAT157Y1"
PHY250H1,Electricity and Magnetism,"(2, 'Winter')!!",,,,,Winter!!,"PHY131H1/ PHY151H1, PHY132H1/ PHY152H1, (MAT135H1, MAT136H1)/ MAT137Y1/ MAT157Y1"
PHY252H1,Thermal Physics,"(2, 'Winter')!!",,,,,Winter!!,"PHY131H1/ PHY151H1, PHY132H1/ PHY152H1, (MAT135H1, MAT136H1)/ MAT137Y1/ MAT157Y1"
PHY254H1,Classical Mechanics,"(2, 'Fall')!!",,,,,Fall!!,"PHY131H1/ PHY151H1, PHY132H1/ PHY152H1, (MAT135H1, MAT136H1)/ MAT137Y1/ MAT157Y1"
PHY256H1,Introduction to Quantum Physics,"(2, 'Fall')!!",,,,,Fall!!,"PHY131H1/ PHY151H1, PHY132H1/ PHY152H1, (MAT135H1, MAT136H1)/ MAT137Y1/ MAT157Y1"
PHY299Y1,Research Opportunity Program,"(2, 'Fall-Winter')",,,,,Fall-Winter,
